sampling_points_per_second,sampling,track_number,maximum_time,minimum_time_domain,median_time_domain,time_domain_average,time_domain_differential_peak,time_domain_average_rectifier,time_domain_variance,time_domain_standard_deviation,time_domain_kurtosis,time_domain_of_skewness,time_domain_root_mean_square,time_domain_RMS_factor,the_time_domain_peak_factor,time_domain_pulse_factor,time_domain_margin_factor,maximum_amplitude,minimum_amplitude,median_amplitude,average_amplitude,peak_amplitude_difference,peak_amplitude_threshold,center_of_gravity_frequency,mean_square_frequency,root_mean_square_frequency,frequency_variance,frequency_standard_deviation,maximum_power,power_minimum_value,median_power,power_average,SNR,bandwidth,type
600,1733,2,0.833793962,-1.138572371,-0.134513534,5.29E-17,1.972366333,0.244504338,0.102063235,0.319473278,4.213573267,-0.130460432,0.319381092,1.306249761,6.175601982,8.066934857,6484.903579,0.110668317,1.11E-17,0.004424099,0.005148725,0.110668317,0.083001238,307.2694995,124116.9653,352.3023776,29702.41998,172.3439003,1.41E-05,1.42E-37,2.26E-08,6.77E-08,-4.994036094,293.4295665,2
600,1733,2,0.842579872,-1.145960778,-0.138438195,-7.61E-17,1.988540649,0.251331373,0.106002851,0.325580105,4.122765306,-0.084451419,0.325486157,1.295047793,6.109448298,7.912027524,13.06299642,0.10982771,1.11E-17,0.004663274,0.005403094,0.10982771,0.082370783,306.9708586,123811.0086,351.8678852,29579.90061,171.9880828,1.39E-05,1.42E-37,2.51E-08,7.02E-08,-5.280794616,292.8046755,2
600,1734,2,0.825813637,-1.158698692,-0.148757591,-7.15E-17,1.984512329,0.260970744,0.113843764,0.33740671,3.883008541,0.08855386,0.337309404,1.292526061,5.883336364,7.604418728,20.05891552,0.126920765,1.02E-18,0.004497958,0.005242497,0.126920765,0.095190574,305.8205041,123244.0135,351.0612675,29717.83282,172.3886099,1.86E-05,1.21E-39,2.33E-08,7.54E-08,-4.008919345,293.4662175,2
600,1734,2,0.83508248,-1.153229288,-0.145020059,7.96E-17,1.988311768,0.263296093,0.118249815,0.343834476,3.943038164,0.030797313,0.343735317,1.305451489,5.78596965,7.551789842,29.01925576,0.128500798,2.43E-17,0.004505287,0.005261633,0.128500798,0.096375599,306.2565939,123233.8437,351.0467827,29440.74237,171.583048,1.90E-05,6.83E-37,2.34E-08,7.62E-08,-3.925356533,292.9137269,2
600,1734,2,0.836978459,-1.151333308,-0.145374751,4.54E-17,1.988311768,0.262897603,0.118150074,0.343687006,3.934374502,0.062857557,0.343587889,1.306849071,5.7885147,7.563883553,26.22413449,0.12978002,1.33E-17,0.004683765,0.005312109,0.12978002,0.097335015,306.511731,123283.938,351.1181254,29334.49675,171.2731641,1.94E-05,2.05E-37,2.53E-08,7.61E-08,-3.792250848,293.7116459,2
600,1735,2,0.909108231,-1.086985519,-0.045237472,7.68E-17,1.99609375,0.341942663,0.230833462,0.480449948,3.547574607,-0.6572051,0.48031147,1.404654144,4.155874584,5.837513847,16.25208623,0.100614343,5.63E-18,0.007138206,0.008751188,0.100614343,0.075460757,302.8752696,121205.4581,348.1457427,29472.02924,171.674195,1.17E-05,3.65E-38,5.87E-08,1.52E-07,-10.14533653,296.6879585,2
600,1734,2,0.834565837,-1.153715413,-0.14607076,1.74E-16,1.98828125,0.262525757,0.117844771,0.343282857,3.973390037,0.058938502,0.343183857,1.307248285,5.793671672,7.573786478,88.10355417,0.130981426,7.17E-18,0.00477465,0.005499718,0.130981426,0.098236069,306.7276071,123350.2973,351.2126098,29268.47231,171.0803095,1.98E-05,5.93E-38,2.63E-08,7.89E-08,-3.90383569,292.5854776,2
600,1734,2,0.827375586,-1.161058252,-0.15101034,2.98E-17,1.988433838,0.268849504,0.122726711,0.350319031,3.889420095,0.080330658,0.350218002,1.30265185,5.677914757,7.396092788,13.09343571,0.131201694,1.20E-17,0.004934155,0.005613241,0.131201694,0.098401271,307.8780182,123807.8598,351.8634107,29018.98572,170.3495985,1.99E-05,1.67E-37,2.81E-08,8.24E-08,-4.148579763,292.4341458,2
600,1734,2,0.839936755,-1.149504163,-0.145033338,2.68E-17,1.989440918,0.266585053,0.122927036,0.350598155,3.898092192,0.063589087,0.350497045,1.314745045,5.676359724,7.462776441,25.46240408,0.135455055,1.88E-17,0.004632548,0.005369988,0.135455055,0.101591291,305.9047682,122413.8336,349.8768835,28836.10637,169.8119736,2.12E-05,4.09E-37,2.48E-08,8.04E-08,-3.603977878,292.8683459,2
600,1734,2,0.830401287,-1.150189533,-0.153485431,2.05E-17,1.98059082,0.265476479,0.11953289,0.345734534,3.949667896,0.100218326,0.345634827,1.30194005,5.730395225,7.460557294,25.63030273,0.134161819,2.66E-17,0.004695455,0.005392646,0.134161819,0.100621364,306.6711461,123341.0025,351.1993772,29293.81066,171.1543475,2.08E-05,8.18E-37,2.54E-08,7.98E-08,-3.677070287,290.7761388,2
600,1734,2,0.832755039,-1.15200143,-0.151330044,1.11E-16,1.98475647,0.268134998,0.121851564,0.349072058,3.851230635,0.108431393,0.348971388,1.301607938,5.687460777,7.402717359,15.39335952,0.135573586,2.87E-17,0.004595921,0.005376392,0.135573586,0.101680189,305.2609747,122842.1656,350.4884671,29657.90287,172.2146999,2.12E-05,9.49E-37,2.44E-08,8.12E-08,-3.659662719,293.6192476,2
600,1734,2,0.815659599,-1.157256051,-0.133734627,4.79E-17,1.972915649,0.269191957,0.122152677,0.349486556,3.848676286,0.134783865,0.349385767,1.297928165,5.647687182,7.330468407,43.73406818,0.134672676,5.63E-18,0.004921753,0.005576641,0.134672676,0.101004507,306.2124315,123179.8781,350.9699106,29413.82492,171.5045915,2.09E-05,3.66E-38,2.79E-08,8.28E-08,-3.859037123,293.9551952,2
600,1734,2,0.811143173,-1.158797012,-0.147383438,4.96E-17,1.969940186,0.269804365,0.122462467,0.349939589,3.873697928,0.129268783,0.349838669,1.296627224,5.630957563,7.301269188,21.70362508,0.1320923,4.87E-18,0.004786094,0.005488937,0.1320923,0.099069225,307.2080363,123416.4379,351.3067576,29039.66033,170.4102706,2.01E-05,2.73E-38,2.64E-08,8.04E-08,-3.915489516,291.5991638,2
600,1733,2,0.826021259,-1.158399517,-0.153898174,-4.48E-18,1.984420776,0.2755595,0.130684153,0.361502119,3.795110259,0.196278874,0.361397805,1.311539065,5.491011473,7.20184882,37.6844756,0.129183728,1.67E-17,0.004708795,0.005427316,0.129183728,0.096887796,308.3654064,124791.0925,353.2578273,29701.86868,172.3423009,1.92E-05,3.22E-37,2.56E-08,8.66E-08,-4.623930865,293.2503117,2
600,1733,2,0.816299148,-1.168304734,-0.159775071,-1.67E-16,1.984603882,0.278471171,0.131636634,0.362767011,3.764894517,0.179817366,0.362662331,1.302307367,5.474201608,7.128901977,16.34529391,0.123858911,1.70E-17,0.004558658,0.005400188,0.123858911,0.092894183,307.3292566,124108.5832,352.2904813,29657.31121,172.2129821,1.77E-05,3.32E-37,2.40E-08,8.46E-08,-4.975709602,293.6798144,2
600,1733,2,0.82569386,-1.166692004,-0.154988513,1.09E-17,1.992385864,0.277825173,0.132469967,0.363923914,3.799159611,0.197092656,0.3638189,1.309452564,5.477518004,7.171827216,125.5005531,0.12674581,1.48E-17,0.004880705,0.00554607,0.12674581,0.095059357,306.4289802,123725.8991,351.7469248,29827.17923,172.7054696,1.85E-05,2.54E-37,2.75E-08,8.54E-08,-4.768349083,294.0825816,2
600,1735,2,0.881269181,-1.110948836,-0.069093978,1.85E-16,1.992218018,0.342398454,0.224149731,0.473442036,3.686513272,-0.617829776,0.473305578,1.382324071,4.209202812,5.818482945,11.98237276,0.101998883,1.74E-17,0.00708051,0.008541954,0.101998883,0.076499162,300.6373087,120166.5338,346.650449,29783.74241,172.5796697,1.20E-05,3.49E-37,5.78E-08,1.48E-07,-9.866067201,296.6634701,2
600,1733,2,0.821863983,-1.16385379,-0.156071808,-3.20E-19,1.985717773,0.27697507,0.130376275,0.3610444,3.763591574,0.201730054,0.360940217,1.303147572,5.502444676,7.169300822,75.70633916,0.129562274,8.78E-18,0.004680266,0.00561558,0.129562274,0.097171705,307.1916846,124465.0676,352.7960708,30098.3365,173.4887215,1.94E-05,8.88E-38,2.53E-08,8.90E-08,-4.749046322,292.9293771,2
600,1733,2,0.801184864,-1.167870312,-0.140206127,-4.40E-17,1.969055176,0.274182031,0.127228766,0.356660506,3.716535461,0.294997836,0.356557589,1.300402922,5.523350478,7.181616736,232.8837935,0.123564126,4.71E-18,0.004279111,0.005197464,0.123564126,0.092673095,306.4082734,123490.5189,351.4121781,29604.48887,172.0595504,1.76E-05,2.56E-38,2.11E-08,8.24E-08,-4.849343897,293.474834,2
600,1733,2,0.819832002,-1.168830717,-0.164146269,-3.57E-18,1.98866272,0.275173744,0.126210464,0.355261114,3.729606059,0.333451728,0.355158601,1.290670473,5.599363322,7.226937638,471.9697876,0.123757327,2.00E-17,0.004518093,0.005376488,0.123757327,0.092817995,308.5604061,124834.4212,353.3191492,29624.89698,172.1188455,1.77E-05,4.60E-37,2.35E-08,8.39E-08,-4.940889731,293.671844,2
